OriginalName,CleanedName,Family,Class,Phylum,Kingdom,LookupStatus,TrophicLevel
Semele rubropicta,Semele rubropicta,Semelidae,Bivalvia,Mollusca,Animalia,exact_match,Filter feeders
Semibalanus cariosus,Semibalanus cariosus,Balanidae,Thecostraca,Arthropoda,Animalia,exact_match,Filter feeders
Skeletonema,Skeletonema,Skeletonemaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Smithora naiadum,Smithora naiadum,Erythrotrichiaceae,Compsopogonophyceae,Rhodophyta,Plantae,exact_match,Primary producers
Stephanodiscus,Stephanodiscus,NA,NA,NA,NA,error: (204) No Content - Stephano...,NA
Stephanopyxis,Stephanopyxis,Stephanopyxidaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Stephanopyxis turris,Stephanopyxis turris,Stephanopyxidaceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Stomotoca atra,Stomotoca atra,Pandeidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Strongylocentrotus,Strongylocentrotus,Strongylocentrotidae,Echinoidea,Echinodermata,Animalia,exact_match,Benthic invertebrates
Styela gibbsii,Styela gibbsii,Styelidae,Ascidiacea,Chordata,Animalia,exact_match,Filter feeders
Syllidae,Syllidae,Syllidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Syllidae sp. BOLD:AAV0869,Syllidae,Syllidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Syllis alternata CMC03,Syllis alternata,Syllidae,Polychaeta,Annelida,Animalia,exact_match,NA
Synchaeta,Synchaeta,Synchaetidae,Eurotatoria,Rotifera,Animalia,exact_match,Planktivores
Synchaetidae sp. COIMB2107,Synchaetidae,Synchaetidae,Eurotatoria,Rotifera,Animalia,exact_match,NA
Synchaetidae sp. COIMB2108,Synchaetidae,Synchaetidae,Eurotatoria,Rotifera,Animalia,exact_match,NA
Teleaulax,Teleaulax,Geminigeraceae,Cryptophyceae,Cryptophyta,Chromista,exact_match,Primary producers
Teleaulax amphioxeia,Teleaulax amphioxeia,Geminigeraceae,Cryptophyceae,Cryptophyta,Chromista,exact_match,Primary producers
Thalassionema nitzschioides,Thalassionema nitzschioides,Thalassionemataceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Thalassiosira,Thalassiosira,Thalassiosiraceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Thalassiosira nordenskioeldii,Thalassiosira nordenskioeldii,Thalassiosiraceae,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Thalassiosirales,Thalassiosirales,NA,Bacillariophyceae,Heterokontophyta,Chromista,exact_match,Primary producers
Thelepus,Thelepus,Terebellidae,Polychaeta,Annelida,Animalia,exact_match,Benthic invertebrates
Tiaropsis multicirrata,Tiaropsis multicirrata,Tiaropsidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Tisbe sp. FHL 3,Tisbe,Tisbidae,Copepoda,Arthropoda,Animalia,exact_match,NA
Tisbe sp. FHL 5,Tisbe,Tisbidae,Copepoda,Arthropoda,Animalia,exact_match,NA
Triparma,Triparma,Triparmaceae,Bolidophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Tubulanus sp. Palaeo_OR055_22VIII16,Tubulanus,Tubulanidae,Palaeonemertea,Nemertea,Animalia,exact_match,NA
Turritopsis,Turritopsis,Oceaniidae,Hydrozoa,Cnidaria,Animalia,exact_match,Gelatinous zooplankton
Vicicitus,Vicicitus,Dictyochaceae,Dictyochophyceae,Ochrophyta,Chromista,exact_match,Primary producers
Xiphister mucosus,Xiphister mucosus,Stichaeidae,Teleostei,Chordata,Animalia,exact_match,Mesopredators
uncultured Kareniaceae,Kareniaceae,Kareniaceae,Dinophyceae,Myzozoa,Chromista,exact_match,NA
