"","OriginalName","CleanedName","Family","Class","Phylum","Kingdom","LookupStatus","TrophicLevel"
"220","Pylaiella washingtoniensis","Pylaiella washingtoniensis","Acinetosporaceae","Phaeophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"221","Pythium","Pythium","Pythiaceae","Peronosporea","Oomycota","Chromista","exact_match","Pathogens"
"222","Ralfsiales","Ralfsiales",NA,"Phaeophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"223","Rathkea octopunctata","Rathkea octopunctata","Rathkeidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"224","Rhizogeton cf. nudus BMBM-0908","Rhizogeton","Oceaniidae","Hydrozoa","Cnidaria","Animalia","exact_match",NA
"225","Rhizosolenia setigera","Rhizosolenia setigera","Rhizosoleniaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"226","Sabellariidae","Sabellariidae","Sabellariidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"227","Saprolegnia","Saprolegnia","Saprolegniaceae","Peronosporea","Oomycota","Chromista","exact_match","Pathogens"
"228","Sarcodiotheca gaudichaudii","Sarcodiotheca gaudichaudii","Solieriaceae","Florideophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"229","Saxidomus","Saxidomus","Veneridae","Bivalvia","Mollusca","Animalia","exact_match","Filter feeders"
"230","Saxidomus gigantea","Saxidomus gigantea","Veneridae","Bivalvia","Mollusca","Animalia","exact_match","Filter feeders"
"231","Schizobranchia insignis","Schizobranchia insignis","Sabellidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"232","Schizoporella japonica","Schizoporella japonica","Schizoporellidae","Gymnolaemata","Bryozoa","Animalia","exact_match","Filter feeders"
"233","Schizymenia pacifica","Schizymenia pacifica","Schizymeniaceae","Florideophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"234","Semele rubropicta","Semele rubropicta","Semelidae","Bivalvia","Mollusca","Animalia","exact_match","Filter feeders"
"235","Semibalanus cariosus","Semibalanus cariosus","Balanidae","Thecostraca","Arthropoda","Animalia","exact_match","Filter feeders"
"236","Skeletonema","Skeletonema","Skeletonemaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"237","Smithora naiadum","Smithora naiadum","Erythrotrichiaceae","Compsopogonophyceae","Rhodophyta","Plantae","exact_match","Primary producers"
"238","Stephanodiscus","Stephanodiscus",NA,NA,NA,NA,"error: (204) No Content - Stephano...",NA
"239","Stephanopyxis","Stephanopyxis","Stephanopyxidaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"240","Stephanopyxis turris","Stephanopyxis turris","Stephanopyxidaceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"241","Stomotoca atra","Stomotoca atra","Pandeidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"242","Strongylocentrotus","Strongylocentrotus","Strongylocentrotidae","Echinoidea","Echinodermata","Animalia","exact_match","Benthic invertebrates"
"243","Styela gibbsii","Styela gibbsii","Styelidae","Ascidiacea","Chordata","Animalia","exact_match","Filter feeders"
"244","Syllidae","Syllidae","Syllidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"245","Syllidae sp. BOLD:AAV0869","Syllidae","Syllidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"246","Syllis alternata CMC03","Syllis alternata","Syllidae","Polychaeta","Annelida","Animalia","exact_match",NA
"247","Synchaeta","Synchaeta","Synchaetidae","Eurotatoria","Rotifera","Animalia","exact_match","Planktivores"
"248","Synchaetidae sp. COIMB2107","Synchaetidae","Synchaetidae","Eurotatoria","Rotifera","Animalia","exact_match",NA
"249","Synchaetidae sp. COIMB2108","Synchaetidae","Synchaetidae","Eurotatoria","Rotifera","Animalia","exact_match",NA
"250","Teleaulax","Teleaulax","Geminigeraceae","Cryptophyceae","Cryptophyta","Chromista","exact_match","Primary producers"
"251","Teleaulax amphioxeia","Teleaulax amphioxeia","Geminigeraceae","Cryptophyceae","Cryptophyta","Chromista","exact_match","Primary producers"
"252","Thalassionema nitzschioides","Thalassionema nitzschioides","Thalassionemataceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"253","Thalassiosira","Thalassiosira","Thalassiosiraceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"254","Thalassiosira nordenskioeldii","Thalassiosira nordenskioeldii","Thalassiosiraceae","Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"255","Thalassiosirales","Thalassiosirales",NA,"Bacillariophyceae","Heterokontophyta","Chromista","exact_match","Primary producers"
"256","Thelepus","Thelepus","Terebellidae","Polychaeta","Annelida","Animalia","exact_match","Benthic invertebrates"
"257","Tiaropsis multicirrata","Tiaropsis multicirrata","Tiaropsidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"258","Tisbe sp. FHL 3","Tisbe","Tisbidae","Copepoda","Arthropoda","Animalia","exact_match",NA
"259","Tisbe sp. FHL 5","Tisbe","Tisbidae","Copepoda","Arthropoda","Animalia","exact_match",NA
"260","Triparma","Triparma","Triparmaceae","Bolidophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"261","Tubulanus sp. Palaeo_OR055_22VIII16","Tubulanus","Tubulanidae","Palaeonemertea","Nemertea","Animalia","exact_match",NA
"262","Turritopsis","Turritopsis","Oceaniidae","Hydrozoa","Cnidaria","Animalia","exact_match","Gelatinous zooplankton"
"263","Vicicitus","Vicicitus","Dictyochaceae","Dictyochophyceae","Ochrophyta","Chromista","exact_match","Primary producers"
"264","Xiphister mucosus","Xiphister mucosus","Stichaeidae","Teleostei","Chordata","Animalia","exact_match","Mesopredators"
"265","uncultured Kareniaceae","Kareniaceae","Kareniaceae","Dinophyceae","Myzozoa","Chromista","exact_match",NA
